richness,intransitivity,functional_div,phylogenetic_div,mean_competitive_ability,var_competitive_ability,biomass_measured,respiration_measured,cue_measured,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
3,1,4.62,152,0.378,0.056,0.531,4.776,0.1,l.carib,p.pend,t.chion,,,,,,,,,
3,0.67,2.857,192.33,0.27,0.026,0.472,2.308,0.17,l.gilb,p.robin,s.comm,,,,,,,,,
3,0.33,4.774,23,0.135,0.014,0.256,2.641,0.088,l.carib,l.conif,l.huron,,,,,,,,,
3,0.33,4.785,129.67,0.396,0.094,0.742,2.985,0.199,l.huron,p.sang,t.chion,,,,,,,,,
3,0.33,2.383,132.67,0.198,0.042,0.582,3.191,0.154,l.gilb,l.huron,s.comm,,,,,,,,,
3,0.67,4.009,134.33,0.658,0.135,0.551,3.364,0.141,m.trem,p.robin,p.rufa.acer,,,,,,,,,
3,0.67,3.689,152.67,0.324,0.114,0.852,2.793,0.234,l.huron,m.trem,p.gilv,,,,,,,,,
3,0.67,4.017,151.33,0.306,0.013,0.576,2.502,0.187,l.carib,p.gilv,s.comm,,,,,,,,,
3,0.67,3.94,153.67,0.514,0.178,0.202,2.172,0.085,l.carib,p.robin,p.rufa.acer,,,,,,,,,
3,0.33,2.671,147.33,0.514,0.18,0.593,3.978,0.13,l.crin,p.pend,p.rufa.acer,,,,,,,,,
3,1,3.114,89.67,0.73,0.066,0.496,3.325,0.13,m.trem,p.rufa.acer,p.sang,,,,,,,,,
3,0,5.1,164.33,0.505,0.215,0.786,3.946,0.166,l.conif,p.rufa.acer,s.comm,,,,,,,,,
3,1,4.128,144.33,0.378,0.028,0.709,2.779,0.203,h.seti,l.crin,x.sub,,,,,,,,,
3,1,5.14,133.67,0.135,0.009,0.487,2.312,0.174,f.fom,l.conif,x.sub,,,,,,,,,
3,0.67,2.524,156.33,0.414,0.241,0.851,3.808,0.183,l.huron,p.flav,p.gilv,,,,,,,,,
3,0.67,4.654,117,0.432,0.226,0.758,2.973,0.203,f.fom,p.flav,x.sub,,,,,,,,,
3,0.67,4.273,191.33,0.261,0.027,0.564,3.61,0.135,l.gilb,p.har,s.comm,,,,,,,,,
3,1,3.918,169,0.207,0.008,0.455,2.876,0.137,l.gilb,p.robin,x.sub,,,,,,,,,
3,1,4.618,139,0.631,0.124,0.441,2.566,0.147,l.carib,p.flav,t.chion,,,,,,,,,
3,1,3.86,158.33,0.396,0.071,1.06,2.956,0.264,m.trem,p.gilv,p.robin,,,,,,,,,
3,0.33,2.215,145.67,0.387,0.06,0.655,2.811,0.189,h.seti,l.gilb,p.sang,,,,,,,,,
3,0.33,2.296,157.33,0.441,0.237,0.683,2.669,0.204,l.gilb,p.gilv,p.rufa.acer,,,,,,,,,
3,0.67,4.887,150.67,0.342,0.104,0.809,2.869,0.22,f.fom,m.trem,p.har,,,,,,,,,
3,0.67,2.271,164.67,0.27,0.038,0.378,2.58,0.128,l.gilb,p.pend,p.sang,,,,,,,,,
3,0.33,5.012,134.33,0.739,0.053,1.097,2.763,0.284,h.seti,p.rufa.acer,t.chion,,,,,,,,,
3,1,4.999,152,0.279,0.002,0.58,3.206,0.153,l.carib,l.crin,p.har,,,,,,,,,
3,0.33,4.726,177.33,0.486,0.198,0.821,2.88,0.222,p.har,p.pend,p.rufa.acer,,,,,,,,,
3,0.67,4.687,123.67,0.432,0.056,0.24,2.354,0.093,l.carib,l.crin,m.trem,,,,,,,,,
3,1,4.27,115.67,0.568,0.138,0.528,4.158,0.113,p.flav,p.sang,x.sub,,,,,,,,,
3,0.33,5.248,142.67,0.568,0.229,0.858,3.589,0.193,l.huron,p.rufa.acer,t.chion,,,,,,,,,
3,1,3.892,168,0.243,0.001,0.785,3.764,0.173,p.har,p.pend,p.robin,,,,,,,,,
3,1,4.788,144,0.36,0.032,0.408,2.129,0.161,h.seti,l.carib,x.sub,,,,,,,,,
3,0.67,3.026,152.33,0.378,0.02,1.475,4.976,0.229,p.pend,p.sang,s.comm,,,,,,,,,
3,0,4.295,163.33,0.441,0.085,0.327,2.161,0.132,h.seti,l.gilb,t.chion,,,,,,,,,
3,1,4.151,143.33,0.333,0.107,0.651,3.279,0.166,f.fom,m.trem,p.pend,,,,,,,,,
3,1,3.036,156.67,0.541,0.152,1.145,4.001,0.222,p.flav,p.gilv,s.comm,,,,,,,,,
3,0.67,3.998,179.67,0.288,0.067,0.557,2.42,0.187,h.seti,l.huron,p.har,,,,,,,,,
3,1,4.468,148.33,0.198,0.01,0.754,3.578,0.174,f.fom,p.robin,x.sub,,,,,,,,,
3,1,5.814,156.67,0.315,0.088,0.774,3.202,0.195,l.conif,p.gilv,t.chion,,,,,,,,,
3,1,3.669,153,0.261,0.003,1.282,3.648,0.26,l.crin,p.gilv,p.har,,,,,,,,,
3,1,2.218,185,0.351,0.036,0.748,2.838,0.209,h.seti,p.pend,p.robin,,,,,,,,,
3,1,4.661,92.67,0.144,0.012,0.424,2.788,0.132,f.fom,l.carib,l.conif,,,,,,,,,
3,0.67,5.981,159,0.432,0.094,0.845,2.888,0.226,h.seti,l.conif,t.chion,,,,,,,,,
3,1,4.545,164,0.279,0.041,0.434,2.609,0.143,l.conif,p.robin,p.sang,,,,,,,,,
3,1,1.822,166.67,0.216,0.012,0.541,2.65,0.169,l.crin,l.gilb,p.pend,,,,,,,,,
3,0.67,5.072,118,0.568,0.204,0.784,3.367,0.189,f.fom,p.flav,t.chion,,,,,,,,,
3,1,5.234,172.67,0.432,0.226,0.566,2.834,0.166,l.conif,p.flav,p.har,,,,,,,,,
3,1,5.385,133.67,0.27,0.042,0.617,3.371,0.155,l.conif,p.sang,x.sub,,,,,,,,,
3,0.33,2.963,176,0.486,0.178,0.766,4.019,0.16,p.flav,p.pend,p.robin,,,,,,,,,
6,0.93,3.966,147.67,0.27,0.02,0.457,3.356,0.12,l.crin,l.huron,p.har,p.robin,p.sang,x.sub,,,,,,
6,0.73,4.434,135.47,0.27,0.058,0.722,3.119,0.188,f.fom,l.conif,l.gilb,p.pend,p.sang,t.chion,,,,,,
6,0.8,4.308,145.27,0.338,0.114,1.138,3.989,0.222,f.fom,l.conif,p.flav,p.gilv,s.comm,x.sub,,,,,,
6,0.73,3.963,152.8,0.189,0.02,0.543,3.012,0.153,l.conif,l.gilb,l.huron,p.har,p.pend,s.comm,,,,,,
6,0.2,2.976,130.47,0.464,0.2,0.498,3.081,0.139,f.fom,h.seti,l.gilb,l.huron,p.flav,p.rufa.acer,,,,,,
6,0.8,3.521,161.27,0.315,0.07,0.713,2.531,0.22,f.fom,h.seti,l.huron,m.trem,p.pend,p.robin,,,,,,
6,0.73,4.201,162.53,0.293,0.059,0.565,3.393,0.143,l.conif,l.huron,m.trem,p.pend,p.robin,s.comm,,,,,,
6,0.8,4.455,125.6,0.432,0.127,0.444,3.381,0.116,l.conif,l.gilb,m.trem,p.flav,p.sang,x.sub,,,,,,
6,0.73,4.434,154.07,0.401,0.123,0.83,3.134,0.209,f.fom,p.gilv,p.har,p.pend,p.rufa.acer,t.chion,,,,,,
6,0.93,5.364,142.73,0.329,0.077,0.57,3.136,0.154,f.fom,l.conif,m.trem,p.pend,t.chion,x.sub,,,,,,
6,0.47,3.566,150.33,0.572,0.148,0.488,4.051,0.108,l.huron,m.trem,p.flav,p.robin,p.rufa.acer,s.comm,,,,,,
6,0.87,3.241,153.4,0.347,0.099,0.587,3.54,0.142,l.crin,l.gilb,p.flav,p.gilv,p.pend,x.sub,,,,,,
6,0.4,3.532,126.53,0.518,0.101,0.851,2.982,0.222,f.fom,h.seti,l.crin,m.trem,p.rufa.acer,s.comm,,,,,,
6,0.73,3.257,157.2,0.288,0.058,0.623,3.512,0.151,l.gilb,l.huron,m.trem,p.gilv,p.pend,s.comm,,,,,,
6,0.6,4.59,155.07,0.311,0.059,0.43,2.224,0.162,h.seti,l.gilb,l.huron,p.har,t.chion,x.sub,,,,,,
6,0.87,3.41,162.67,0.284,0.024,1.037,3.877,0.211,l.huron,p.gilv,p.har,p.robin,p.sang,s.comm,,,,,,
6,0.8,4.463,129.93,0.356,0.106,0.646,3.584,0.153,l.carib,l.conif,l.crin,p.gilv,p.rufa.acer,x.sub,,,,,,
6,0.33,3.139,146.87,0.491,0.181,0.671,3.986,0.144,f.fom,h.seti,l.huron,p.flav,p.robin,p.rufa.acer,,,,,,
6,0.73,4.498,144.93,0.333,0.045,0.498,3.441,0.126,f.fom,l.carib,m.trem,p.robin,s.comm,x.sub,,,,,,
6,0.67,3.065,121,0.311,0.062,0.632,2.771,0.186,f.fom,l.crin,l.huron,m.trem,p.gilv,p.sang,,,,,,
6,0.73,4.394,123.93,0.378,0.123,0.484,3.572,0.119,h.seti,l.carib,l.conif,l.gilb,p.rufa.acer,x.sub,,,,,,
6,0.67,3.966,144,0.342,0.034,0.616,3.041,0.168,h.seti,l.carib,l.conif,p.gilv,p.sang,s.comm,,,,,,
6,0.6,5.05,155,0.383,0.052,0.607,2.826,0.177,h.seti,l.carib,l.conif,m.trem,p.har,s.comm,,,,,,
6,0.67,4.303,165.27,0.405,0.12,0.714,3.176,0.183,l.gilb,p.gilv,p.har,p.pend,p.rufa.acer,t.chion,,,,,,
6,0.67,4.13,129.47,0.329,0.068,0.478,2.619,0.154,f.fom,h.seti,l.crin,l.huron,m.trem,x.sub,,,,,,
6,0.53,3.519,159,0.486,0.15,0.718,4.29,0.143,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,,,,,,
6,0.6,3.408,152.13,0.459,0.169,0.554,3.283,0.144,l.gilb,p.flav,p.gilv,p.pend,p.rufa.acer,x.sub,,,,,,
6,1,3.911,151.07,0.284,0.026,0.585,2.418,0.195,f.fom,h.seti,l.carib,l.crin,p.har,p.pend,,,,,,
6,0.73,4.152,150.93,0.482,0.125,0.779,2.716,0.223,l.gilb,m.trem,p.gilv,p.pend,p.rufa.acer,t.chion,,,,,,
6,0.67,4.27,143.47,0.586,0.06,0.706,3.73,0.159,m.trem,p.flav,p.robin,p.sang,s.comm,t.chion,,,,,,
6,0.53,4.427,152.53,0.441,0.13,0.563,2.069,0.214,f.fom,h.seti,l.gilb,p.har,p.rufa.acer,t.chion,,,,,,
6,0.73,4.626,140.93,0.279,0.055,0.506,2.821,0.152,l.conif,l.crin,l.huron,m.trem,p.robin,x.sub,,,,,,
6,0.8,3.982,153.8,0.482,0.092,0.686,2.65,0.206,h.seti,l.carib,p.flav,p.gilv,p.pend,t.chion,,,,,,
6,0.8,4.018,168.2,0.329,0.045,1.289,2.793,0.316,l.gilb,m.trem,p.gilv,p.har,p.robin,s.comm,,,,,,
6,0.73,4.072,143.33,0.329,0.045,0.935,3.512,0.21,l.crin,l.huron,p.gilv,p.har,p.sang,t.chion,,,,,,
6,0.53,3.804,108.67,0.288,0.128,0.317,2.237,0.124,l.carib,l.conif,l.gilb,l.huron,p.pend,p.rufa.acer,,,,,,
6,0.73,4.672,127.73,0.311,0.045,0.585,2.442,0.193,l.carib,l.conif,l.crin,l.gilb,s.comm,t.chion,,,,,,
6,0.93,3.998,162.27,0.216,0.034,0.718,1.614,0.308,f.fom,h.seti,l.conif,l.gilb,p.har,p.pend,,,,,,
6,0.73,3.814,132.47,0.306,0.058,0.551,2.942,0.158,f.fom,l.gilb,m.trem,p.gilv,p.sang,x.sub,,,,,,
6,0.73,3.584,113.6,0.446,0.097,0.706,3.711,0.16,f.fom,h.seti,l.crin,p.flav,p.sang,x.sub,,,,,,
6,1,4.914,138.2,0.293,0.037,1.089,3.163,0.256,f.fom,l.crin,p.gilv,p.har,t.chion,x.sub,,,,,,
6,0.93,4.921,151.07,0.441,0.094,0.673,2.925,0.187,l.crin,p.flav,p.har,p.pend,t.chion,x.sub,,,,,,
6,0.8,3.178,131.87,0.329,0.108,0.482,2.946,0.141,f.fom,l.carib,l.crin,l.gilb,p.flav,p.pend,,,,,,
6,0.8,3.991,124.73,0.423,0.115,0.751,2.79,0.212,f.fom,l.carib,l.crin,p.gilv,p.rufa.acer,t.chion,,,,,,
6,0.6,4.067,125.8,0.293,0.13,0.36,2.65,0.12,f.fom,l.carib,l.conif,l.huron,p.robin,p.rufa.acer,,,,,,
6,0.93,3.859,134.4,0.198,0.012,0.792,2.383,0.249,f.fom,l.carib,l.crin,l.huron,p.gilv,p.har,,,,,,
6,0.8,2.782,169,0.338,0.037,0.878,3.688,0.192,h.seti,l.huron,p.pend,p.robin,p.sang,s.comm,,,,,,
6,0.87,5.313,143.2,0.266,0.046,0.602,3.241,0.157,l.conif,l.crin,l.huron,p.har,t.chion,x.sub,,,,,,
6,0.53,2.689,150.73,0.356,0.119,0.618,3.652,0.145,l.crin,l.gilb,l.huron,p.pend,p.rufa.acer,s.comm,,,,,,
12,0.61,2.987,144.85,0.448,0.097,0.739,3.22,0.187,f.fom,h.seti,l.crin,l.gilb,m.trem,p.flav,p.gilv,p.pend,p.robin,p.rufa.acer,p.sang,s.comm
12,0.68,4.621,149.47,0.394,0.08,0.529,2.861,0.156,h.seti,l.carib,l.conif,l.huron,m.trem,p.gilv,p.har,p.robin,p.rufa.acer,s.comm,t.chion,x.sub
12,0.77,4.286,137.95,0.311,0.054,0.455,2.576,0.15,f.fom,h.seti,l.carib,l.conif,l.gilb,l.huron,m.trem,p.pend,p.robin,p.sang,t.chion,x.sub
12,0.76,3.697,146.58,0.286,0.065,0.784,3.027,0.206,f.fom,l.carib,l.conif,l.gilb,l.huron,p.flav,p.gilv,p.har,p.pend,p.robin,p.sang,s.comm
12,0.71,4.144,144.76,0.385,0.084,0.645,3.843,0.144,f.fom,h.seti,l.conif,l.crin,l.gilb,m.trem,p.gilv,p.pend,p.rufa.acer,s.comm,t.chion,x.sub
12,0.67,4.041,150.8,0.408,0.108,0.936,3.203,0.226,f.fom,h.seti,l.conif,l.crin,l.huron,p.flav,p.gilv,p.har,p.robin,p.rufa.acer,s.comm,t.chion
12,0.67,3.911,148.18,0.365,0.115,0.741,3.6,0.171,f.fom,l.conif,l.gilb,l.huron,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,t.chion
12,0.7,4.214,140.85,0.419,0.104,0.664,3.485,0.16,f.fom,h.seti,l.conif,l.crin,l.gilb,p.flav,p.har,p.robin,p.rufa.acer,p.sang,t.chion,x.sub
12,0.79,4.54,141.05,0.403,0.113,0.673,3.388,0.166,f.fom,l.carib,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.har,p.robin,p.rufa.acer,t.chion,x.sub
12,0.79,4.011,147.32,0.279,0.03,0.691,2.883,0.193,l.carib,l.conif,l.crin,l.gilb,l.huron,p.gilv,p.har,p.pend,p.robin,p.sang,s.comm,t.chion
12,0.76,3.8,143.77,0.459,0.084,0.793,3.775,0.174,h.seti,l.carib,l.crin,m.trem,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,x.sub
12,0.74,4.587,133.53,0.437,0.11,0.551,3.22,0.146,f.fom,h.seti,l.carib,l.conif,l.crin,l.gilb,m.trem,p.flav,p.har,p.rufa.acer,t.chion,x.sub
12,0.67,4.295,140.5,0.419,0.077,0.501,2.873,0.148,h.seti,l.carib,l.conif,l.crin,l.huron,m.trem,p.gilv,p.har,p.rufa.acer,p.sang,s.comm,t.chion
12,0.68,3.693,142.74,0.423,0.07,0.712,2.981,0.193,f.fom,h.seti,l.carib,l.crin,l.gilb,m.trem,p.flav,p.pend,p.robin,p.sang,s.comm,t.chion
12,0.76,4.008,144.42,0.277,0.065,1.004,3.03,0.249,f.fom,l.carib,l.conif,l.crin,l.gilb,l.huron,p.har,p.pend,p.robin,p.rufa.acer,s.comm,x.sub
12,0.77,4.249,145.3,0.356,0.08,0.797,3.675,0.178,l.carib,l.conif,l.crin,l.gilb,l.huron,m.trem,p.flav,p.gilv,p.har,p.pend,s.comm,t.chion
12,0.68,4.436,137.8,0.403,0.122,0.637,3.445,0.156,f.fom,l.conif,l.gilb,l.huron,m.trem,p.flav,p.har,p.pend,p.rufa.acer,p.sang,t.chion,x.sub
12,0.67,4.035,143.92,0.374,0.078,0.731,2.728,0.211,f.fom,h.seti,l.conif,l.crin,l.gilb,m.trem,p.har,p.pend,p.rufa.acer,p.sang,s.comm,x.sub
12,0.79,4.133,144.38,0.356,0.081,0.584,2.634,0.181,f.fom,l.carib,l.conif,l.crin,l.huron,m.trem,p.flav,p.gilv,p.pend,p.robin,s.comm,t.chion
12,0.76,3.695,150.33,0.297,0.074,0.928,3.327,0.218,f.fom,h.seti,l.conif,l.gilb,l.huron,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,x.sub
12,0.73,4.334,144.45,0.423,0.108,0.778,3.704,0.174,f.fom,l.carib,l.huron,m.trem,p.flav,p.gilv,p.har,p.pend,p.rufa.acer,s.comm,t.chion,x.sub
12,0.67,3.692,150.35,0.441,0.099,0.572,3.33,0.147,h.seti,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,x.sub
12,0.76,4.349,141.53,0.414,0.074,0.614,3.434,0.152,f.fom,h.seti,l.carib,l.conif,m.trem,p.flav,p.gilv,p.robin,p.sang,s.comm,t.chion,x.sub
12,0.76,4.228,142.82,0.324,0.049,0.775,2.752,0.22,f.fom,h.seti,l.carib,l.gilb,l.huron,m.trem,p.gilv,p.har,p.robin,p.sang,t.chion,x.sub
12,0.7,4.145,149.92,0.396,0.117,0.666,3.265,0.169,f.fom,l.gilb,l.huron,m.trem,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,t.chion,x.sub
12,0.61,3.413,138.33,0.428,0.109,0.701,3.591,0.163,f.fom,h.seti,l.conif,l.crin,l.huron,m.trem,p.flav,p.gilv,p.pend,p.rufa.acer,p.sang,s.comm
12,0.71,4.351,140.48,0.437,0.105,0.675,3.513,0.161,l.conif,l.crin,l.huron,m.trem,p.flav,p.gilv,p.har,p.robin,p.rufa.acer,p.sang,t.chion,x.sub
12,0.8,3.822,147.68,0.354,0.072,0.745,2.378,0.238,f.fom,h.seti,l.carib,l.crin,l.gilb,m.trem,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,x.sub
12,0.83,4.554,146.5,0.351,0.08,0.65,3.652,0.151,f.fom,l.carib,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.har,p.pend,s.comm,t.chion,x.sub
12,0.64,3.834,143.88,0.493,0.089,0.689,3.724,0.156,h.seti,l.crin,l.huron,m.trem,p.flav,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.62,3.879,144.56,0.428,0.103,0.549,3.053,0.152,f.fom,h.seti,l.carib,l.conif,l.gilb,p.flav,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion
12,0.65,3.328,141.5,0.367,0.1,0.708,3.776,0.158,f.fom,l.carib,l.crin,l.gilb,l.huron,p.flav,p.gilv,p.har,p.pend,p.rufa.acer,p.sang,s.comm
12,0.71,3.992,134.35,0.367,0.101,0.744,3.727,0.166,f.fom,l.carib,l.conif,l.crin,l.huron,p.flav,p.gilv,p.har,p.rufa.acer,p.sang,s.comm,x.sub
12,0.59,3.89,136.32,0.392,0.091,0.739,3.346,0.181,f.fom,h.seti,l.conif,l.crin,l.gilb,l.huron,m.trem,p.pend,p.rufa.acer,p.sang,s.comm,t.chion
12,0.67,3.806,139.39,0.333,0.081,0.721,3.075,0.19,f.fom,h.seti,l.carib,l.conif,l.crin,l.gilb,l.huron,p.gilv,p.pend,p.rufa.acer,s.comm,t.chion
12,0.79,4.242,153.45,0.322,0.071,0.72,3.276,0.18,f.fom,l.conif,l.crin,l.gilb,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,s.comm,t.chion,x.sub
12,0.71,3.998,134.94,0.374,0.076,0.413,2.937,0.123,f.fom,h.seti,l.carib,l.conif,l.crin,l.huron,m.trem,p.flav,p.robin,p.sang,s.comm,x.sub
12,0.68,4.305,141.88,0.365,0.089,0.673,2.771,0.195,f.fom,h.seti,l.carib,l.conif,l.gilb,l.huron,m.trem,p.flav,p.gilv,p.har,s.comm,t.chion
12,0.79,4.335,141.76,0.394,0.072,0.827,3.949,0.173,f.fom,l.carib,l.conif,l.crin,m.trem,p.flav,p.gilv,p.har,p.robin,p.sang,s.comm,t.chion
12,0.79,4.036,151.8,0.338,0.073,0.975,3.243,0.231,f.fom,l.conif,l.gilb,m.trem,p.flav,p.gilv,p.har,p.pend,p.robin,p.sang,s.comm,x.sub
12,0.68,4.243,143.15,0.439,0.102,0.416,4.4,0.086,h.seti,l.carib,l.conif,l.huron,m.trem,p.flav,p.har,p.pend,p.rufa.acer,p.sang,s.comm,x.sub
12,0.67,3.986,140.15,0.403,0.113,0.514,3.342,0.133,f.fom,h.seti,l.carib,l.conif,l.huron,m.trem,p.flav,p.gilv,p.pend,p.rufa.acer,s.comm,x.sub
12,0.71,3.83,151.11,0.43,0.088,0.648,3.521,0.156,l.crin,l.gilb,p.flav,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.76,4.355,140.32,0.309,0.078,0.547,2.992,0.155,f.fom,l.carib,l.conif,l.gilb,l.huron,p.har,p.pend,p.robin,p.rufa.acer,p.sang,t.chion,x.sub
12,0.7,4.143,148,0.455,0.104,0.584,3.404,0.147,f.fom,h.seti,l.carib,l.conif,m.trem,p.flav,p.gilv,p.pend,p.robin,p.rufa.acer,s.comm,t.chion
12,0.7,3.96,138.14,0.39,0.082,0.557,2.651,0.174,f.fom,h.seti,l.carib,l.crin,l.gilb,l.huron,m.trem,p.flav,p.har,p.pend,p.sang,t.chion
12,0.7,4.193,152.11,0.374,0.083,0.594,2.7,0.18,f.fom,l.conif,l.gilb,m.trem,p.gilv,p.har,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion
12,0.7,3.851,141.48,0.432,0.069,0.803,3.784,0.175,f.fom,h.seti,l.crin,m.trem,p.gilv,p.pend,p.robin,p.rufa.acer,p.sang,s.comm,t.chion,x.sub
12,0.67,4.057,127.79,0.45,0.111,0.536,2.802,0.161,f.fom,h.seti,l.carib,l.conif,l.crin,l.huron,m.trem,p.flav,p.pend,p.rufa.acer,p.sang,t.chion
